fips,median_age,white_pct,black_pct,hispanic_pct
26165,42.2,92.4,1.0,1.6
27001,56.5,93.5,0.7,3.1
27003,38.8,77.2,8.3,1.7
27005,43.2,86.2,0.8,9.9
27007,35.1,70.9,1.4,23.5
27009,36.7,87.3,3.9,3.8
27011,47.4,94.9,0.2,1.0
27013,31.5,86.8,4.6,0.8
27015,42.4,94.2,0.8,0.5
27017,41.7,88.0,2.1,7.1
27019,38.9,87.8,1.5,1.0
27021,49.7,81.7,0.4,12.7
27023,41.8,85.2,0.9,2.1
27025,40.8,91.7,1.2,1.4
27027,33.5,86.3,4.8,2.6
27029,41.8,84.5,0.2,12.8
27031,52.3,85.1,0.5,10.6
27033,41.3,82.8,1.8,1.2
27035,45.4,94.2,0.6,1.6
27037,38.4,76.0,7.3,1.4
27039,38.5,91.3,1.0,0.8
27041,44.3,95.2,0.5,0.9
27043,44.6,89.8,0.6,1.2
27045,42.3,95.3,0.6,0.5
27047,43.9,84.9,1.3,1.4
27049,42.3,90.3,1.6,1.9
27051,43.7,94.1,0.5,1.3
27053,37.4,67.6,13.3,2.0
27055,45.0,94.0,0.4,0.9
27057,48.3,91.1,0.5,3.8
27059,40.1,92.5,1.0,1.6
27061,46.9,89.4,0.7,5.1
27063,44.5,92.0,0.6,1.1
27065,44.5,94.5,0.5,1.9
27067,39.8,81.1,5.6,0.9
27069,48.4,93.8,0.6,1.1
27071,50.5,90.2,0.6,3.9
27073,47.7,93.9,0.6,0.7
27075,49.6,95.5,0.4,2.1
27077,50.8,90.7,0.3,5.2
27079,41.4,91.6,0.9,0.8
27081,45.0,95.5,0.2,1.8
27083,37.3,83.5,2.5,1.1
27085,41.5,91.3,0.5,1.0
27087,35.2,45.3,0.2,52.3
27089,43.2,93.2,0.3,1.2
27091,44.5,93.1,0.8,0.9
27093,42.3,94.4,0.2,1.1
27095,41.2,89.3,0.3,6.3
27097,42.2,95.3,0.3,0.9
27099,38.9,78.9,3.5,0.8
27101,46.6,91.2,0.6,0.8
27103,37.8,87.5,3.5,1.1
27105,36.3,61.0,5.2,3.5
27107,43.9,89.8,1.1,3.9
27109,37.8,78.7,7.2,0.7
27111,46.3,91.8,1.0,1.2
27113,40.2,91.0,1.2,2.1
27115,45.8,89.6,2.3,4.4
27117,39.8,87.1,1.9,2.5
27119,39.5,87.0,2.2,3.4
27121,45.6,94.6,0.6,1.3
27123,35.9,60.7,12.2,2.0
27125,42.8,92.5,0.6,4.1
27127,41.1,86.4,0.6,6.3
27129,42.1,87.5,0.9,1.7
27131,37.1,80.3,6.5,1.5
27133,41.1,94.2,0.2,1.3
27135,42.3,89.5,1.0,2.8
27137,41.3,90.5,1.6,3.4
27139,37.3,78.6,5.2,1.8
27141,36.9,87.8,3.7,1.7
27143,42.2,89.4,1.0,0.7
27145,35.0,82.9,8.4,0.9
27147,40.2,86.9,3.5,1.1
27149,33.6,83.1,1.8,2.7
27151,43.4,90.0,0.7,1.2
27153,42.8,87.9,0.7,0.7
27155,45.5,87.0,0.5,9.0
27157,44.8,95.4,0.4,0.8
27159,40.1,91.3,0.7,1.7
27161,40.4,89.5,1.1,2.5
27163,39.9,79.7,4.9,1.1
27165,40.6,78.9,0.0,0.6
27167,42.0,92.6,0.2,2.8
27169,36.1,90.8,1.7,1.0
27171,37.4,89.4,1.9,1.0
27173,42.0,88.8,0.7,5.4
28001,42.1,38.4,55.5,0.7
28003,40.6,80.9,10.9,2.8
28005,48.8,58.3,40.1,0.6
28007,39.6,52.3,45.4,1.0
28009,43.9,60.8,34.2,1.0
28011,36.6,30.7,63.2,0.3
28013,43.1,64.3,28.7,0.6
28015,47.7,63.2,34.5,0.2
28017,39.0,50.3,44.5,0.5
28019,43.0,67.6,29.3,0.5
28021,33.8,10.9,86.2,1.0
28023,42.6,63.3,34.4,0.9
28025,40.1,37.9,60.1,1.1
28027,35.7,19.5,75.9,1.6
28029,39.8,43.2,50.7,0.9
